tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1166615283588640769,940997281192579073,Wed Aug 28 07:35:32 +0000 2019,PiggyVest steady doing the Lords work,https://t.co/siI0EyQLAp,,en,0,2,0,0,,
1172073058783379457,4714760909,Thu Sep 12 09:02:47 +0000 2019,"TrackItThursday Does your salary or income last you the entire month If no, why Tip Monthly budgets help.",https://t.co/oTqXFg0xQH,,en,22,2,3,0,,TrackItThursday
1168350534597840898,1096658142337867776,Mon Sep 02 02:30:49 +0000 2019,"Piggyvest, mind your business o ",https://t.co/WHkfu8dRsj,,en,10,4,4,0,,
1166453616632303618,134014237,Tue Aug 27 20:53:08 +0000 2019,"Hey guys, is piggyvest real",,,en,1,1,9,4,,
1168641134882623489,56380192,Mon Sep 02 21:45:33 +0000 2019,Piggyvest noooooooooooOOOOOoooooooo,https://t.co/umgfVY9pQH,,lt,0,0,1,0,,
1166726230084870144,1097913422740639745,Wed Aug 28 14:56:24 +0000 2019,How do i hack my piggyvest to withdraw my money abeg ,,,en,10,1,6,0,,
1166680985762709506,1199583769,Wed Aug 28 11:56:37 +0000 2019,"Bukola from Piggyvest, let me rest na. ",,,hu,1,0,5,0,,
1162808685405581312,457046742,Sat Aug 17 19:29:29 +0000 2019,Want to join my fun group attending Afronation in Ghana this December Youll need to save 250 000 Naira by 30th November and the best part is you can save in bits using We have only 2 slots left,https://t.co/p1F5KKGxwd,@PiggyBankNG,en,42,53,12,7,,
1168162680869441537,524917949,Sun Sep 01 14:04:21 +0000 2019,"Yooo I received my interest on PiggyVest, a whole N2000..  lemme go and buy my range ",,,en,3,0,1,0,,
1167410391057686528,749267496,Fri Aug 30 12:15:01 +0000 2019,"Cowrywise and PiggyVest have introduced account numbers, allowing users to make funds transfers for 0  25 per transaction. But neither company has any plans to become a digital bank, yet.",https://t.co/sT4TMEzGZ3,,en,3,1,0,0,,
1164988316346925056,41326350,Fri Aug 23 19:50:33 +0000 2019,Thinking about all my money in piggyvest. Made myself intentionally broke till December.,https://t.co/7BWeIEhich,,en,1,0,0,0,,
1169336155764154368,718810201,Wed Sep 04 19:47:19 +0000 2019,Thank God for PiggyVest sha,,,en,4,0,4,4,,
1170328631425622016,52702687,Sat Sep 07 13:31:04 +0000 2019,"Yall steady shouting invest. I decided to check out piggyvest. The only available investment is this.. unless I'm missing something, they're saying if I drop 100k for 1yr all I get is 17k Doesn't sound like a win to me sha. Abeg do you guys have other investment options",https://t.co/xEJRjjqFyx,,en,5,6,6,1,,
1166460823268728834,865467170741862400,Tue Aug 27 21:21:46 +0000 2019,Piggyvest has mastered the art of sending investment newsletters on salary week....I kinda like the energy ,,,en,4,4,4,0,,
1170417554407460865,176394559,Sat Sep 07 19:24:24 +0000 2019,"Sooooo ICOs Bitcoin, farmcrowdy, cowrywise, PiggyVest",,,en,2,2,3,0,,
1166632184855314433,3302127399,Wed Aug 28 08:42:42 +0000 2019,Thinking of opening an account with CowryWise. Will split savings between PiggyVest and CowryWise. I want to check something.,,,en,10,0,5,0,,
1170259727340769281,330335483,Sat Sep 07 08:57:16 +0000 2019,No short term investment opportunities on PiggyVest and cowrywise. Everything 912 months ,,,en,3,0,4,1,,
